Procedure,Type,AllowedCost
Any,Preferred,3248.3570765056165
Any,Preferred,2930.867849414408
Any,Preferred,3323.844269050346
Any,Preferred,3761.514928204013
Any,Preferred,2882.923312638332
Any,Preferred,2882.9315215254096
Any,Preferred,3789.6064077536957
Any,Preferred,3383.717364576454
Any,Preferred,2765.262807032524
Any,Preferred,3271.2800217929826
Any,Preferred,2768.2911535937687
Any,Preferred,2767.135123214872
Any,Preferred,3120.981135783017
Any,Preferred,2043.359877671101
Any,Preferred,2137.541083743484
Any,Preferred,2718.8562353795137
Any,Preferred,2493.584439832788
Any,Preferred,3157.123666297637
Any,Preferred,2545.9879622393946
Any,Preferred,2293.8481493323543
Any,Preferred,3732.824384460777
Any,Preferred,2887.111849756732
Any,Preferred,3033.764102343962
Any,Preferred,2287.6259068932713
Any,Preferred,2727.808637737409
Any,Preferred,3055.461294854933
Any,Preferred,2424.5032112888484
Any,Preferred,3187.849009172836
Any,Preferred,2699.6806550405977
Any,Preferred,2854.1531251033616
Any,Preferred,2699.1466938853014
Any,Preferred,3926.139092254469
Any,Preferred,2993.251387631033
Any,Preferred,2471.14453552205
Any,Preferred,3411.2724560515944
Any,Preferred,2389.578175014489
Any,Preferred,3104.431797502378
Any,Preferred,2020.1649380601123
Any,Preferred,2335.906975550785
Any,Preferred,3098.4306179345617
Any,Preferred,3369.2332899977055
Any,Preferred,3085.6841405949854
Any,Preferred,2942.1758588058797
Any,Preferred,2849.4481522053557
Any,Preferred,2260.739004816286
Any,Preferred,2640.077895802646
Any,Preferred,2769.6806145201062
Any,Preferred,3528.561113109458
Any,Preferred,3171.8091447842307
Any,Preferred,2118.479922318633
Any,Preferred,3162.0419846973973
Any,Preferred,2807.458859791842
Any,Preferred,2661.5389998470205
Any,Preferred,3305.8381444204338
Any,Preferred,3515.4997612479756
Any,Preferred,3465.6400595580994
Any,Preferred,2580.391238388681
Any,Preferred,2845.393812074393
Any,Preferred,3165.631715701782
Any,Preferred,3487.7725635611796
Any,Preferred,2760.412881077355
Any,Preferred,2907.1705116680914
Any,Preferred,2446.8325129969858
Any,Preferred,2401.8966879596646
Any,Preferred,3406.262911197099
Any,Preferred,3678.1200142854113
Any,Preferred,2963.994939209833
Any,Preferred,3501.766448946012
Any,Preferred,3180.818012523817
Any,Preferred,2677.440122697438
Any,Preferred,3180.697802754207
Any,Preferred,3769.0182832329847
Any,Preferred,2982.0869804450244
Any,Preferred,3782.3218279070034
Any,Preferred,1690.1274479551278
Any,Preferred,3410.9512521876118
Any,Preferred,3043.5235341190855
Any,Preferred,2850.496324767066
Any,Preferred,3045.880388267751
Any,Preferred,2006.2155426995537
Any,Preferred,2890.164056081244
Any,Preferred,3178.5562857558734
Any,Preferred,3738.947022370758
Any,Preferred,2740.8648908631762
Any,Preferred,2595.753198553406
Any,Preferred,2749.121478207732
Any,Preferred,3457.701058851037
Any,Preferred,3164.3755548298423
Any,Preferred,2735.1198981164807
Any,Preferred,3256.633716556678
Any,Preferred,3048.5387746740203
Any,Preferred,3484.3224952664445
Any,Preferred,2648.9734530613237
Any,Preferred,2836.168926701116
Any,Preferred,2803.945923433921
Any,Preferred,2268.2425259339407
Any,Preferred,3148.060138532288
Any,Preferred,3130.5276360899447
Any,Preferred,3002.5567283212304
Any,Preferred,2882.7064333124267
Any,Non-Preferred,3298.854296072705
Any,Non-Preferred,3895.689547643738
Any,Non-Preferred,3942.4480313868917
Any,Non-Preferred,3666.710379769982
Any,Non-Preferred,4051.305314303348
Any,Non-Preferred,4390.507255391676
Any,Non-Preferred,5279.788282029272
Any,Non-Preferred,4252.823429002056
Any,Non-Preferred,4302.606975736612
Any,Non-Preferred,4103.409191843253
Any,Non-Preferred,2996.8140121235283
Any,Non-Preferred,4132.1684160334235
Any,Non-Preferred,4184.214867267569
Any,Non-Preferred,5626.022008794125
Any,Non-Preferred,4032.6601624342798
Any,Non-Preferred,4329.005146703121
Any,Non-Preferred,4127.249679479807
Any,Non-Preferred,3446.869918731234
Any,Non-Preferred,4833.770430011966
Any,Non-Preferred,4599.236560915018
Any,Non-Preferred,4622.695909528782
Any,Non-Preferred,3602.4442684261103
Any,Non-Preferred,4989.753327864613
Any,Non-Preferred,3306.9661036275847
Any,Non-Preferred,4500.190997583116
Any,Non-Preferred,5462.350116788941
Any,Non-Preferred,3553.7549462245406
Any,Non-Preferred,3808.2981035412904
Any,Non-Preferred,4207.867560355538
Any,Non-Preferred,3845.991348833234
Any,Non-Preferred,3217.678682663274
Any,Non-Preferred,4189.21452618657
Any,Non-Preferred,3510.6945130672902
Any,Non-Preferred,4432.232199684062
Any,Non-Preferred,3596.4222007626713
Any,Non-Preferred,5078.037384313477
Any,Non-Preferred,3678.124765901211
Any,Non-Preferred,3954.839831579548
Any,Non-Preferred,4636.187071724756
Any,Non-Preferred,3409.5581514425803
Any,Non-Preferred,4284.552702065431
Any,Non-Preferred,4932.36239387241
Any,Non-Preferred,3183.586800566217
Any,Non-Preferred,4258.8570564223355
Any,Non-Preferred,4304.006417852008
Any,Non-Preferred,4617.170464369339
Any,Non-Preferred,3405.9063147761044
Any,Non-Preferred,3355.8027734523876
Any,Non-Preferred,4461.241680673092
Any,Non-Preferred,4326.267545242865
Any,Non-Preferred,4298.37245151048
Any,Non-Preferred,4355.945667001139
Any,Non-Preferred,3740.061908355859
Any,Non-Preferred,4287.428959599556
Any,Non-Preferred,4323.920225282162
Any,Non-Preferred,3719.4658904871326
Any,Non-Preferred,5267.541447989807
Any,Non-Preferred,4432.376493850026
Any,Non-Preferred,3433.294642981364
Any,Non-Preferred,4542.008906483251
Any,Non-Preferred,3563.2677391665607
Any,Non-Preferred,4620.327503548425
Any,Non-Preferred,4843.234088707396
Any,Non-Preferred,3655.667350291927
Any,Non-Preferred,4726.102418849547
Any,Non-Preferred,4395.745297464852
Any,Non-Preferred,4641.312837299647
Any,Non-Preferred,5286.152530895322
Any,Non-Preferred,4000.8438717012314
Any,Non-Preferred,3695.83504268846
Any,Non-Preferred,3614.3680835276396
Any,Non-Preferred,3658.5905703236904
Any,Non-Preferred,4101.815715654491
Any,Non-Preferred,4352.76792619294
Any,Non-Preferred,4314.091220900965
Any,Non-Preferred,4644.386690724567
Any,Non-Preferred,4155.877876429698
Any,Non-Preferred,5020.197187597343
Any,Non-Preferred,3989.2826413601797
Any,Non-Preferred,5780.1782412567245
Any,Non-Preferred,4523.477149961957
Any,Non-Preferred,3633.782207453184
Any,Non-Preferred,3505.5412424662863
Any,Non-Preferred,4437.560190448865
Any,Non-Preferred,4013.999070107443
Any,Non-Preferred,4576.477037758209
Any,Non-Preferred,4432.019316047081
Any,Non-Preferred,4104.379393708829
Any,Non-Preferred,3640.0005104619104
Any,Non-Preferred,3239.168406491435
Any,Non-Preferred,3880.1677700627406
Any,Non-Preferred,4661.916017897037
