Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,latitude,longitude
2944267,"June 19, 2024",Pennsylvania,Philadelphia,2800 block of N Bambrey St,0,7,0,0,0,N/A,39.9981151,-75.1731523
2943875,"June 18, 2024",California,Richmond,700 Pennsylvania Ave,2,2,0,0,0,N/A,37.9422896,-122.3624504
2943300,"June 17, 2024",Georgia,Macon,3700 block of Napier Ave,1,3,0,0,0,N/A,32.8505361,-83.688171
2941749,"June 17, 2024",Illinois,Chicago,6000 block of S Winchester Ave,0,7,0,0,0,N/A,41.784659,-87.6731837
2941737,"June 17, 2024",Illinois,Chicago,900 block of N Pulaski Rd,0,5,0,0,0,N/A,41.8973331,-87.7264203
2940961,"June 16, 2024",Arkansas,Pine Bluff,200 Lake Saracen Dr,1,3,0,0,0,N/A,34.2306792,-92.0044661
2941065,"June 16, 2024",Massachusetts,Methuen,100 Lindberg Ave,0,7,0,0,0,N/A,42.7209493,-71.2067495
2941392,"June 16, 2024",Indiana,South Bend,1623 Lincoln Way W,0,4,0,0,0,N/A,41.686501,-86.2744622
2940418,"June 15, 2024",Ohio,Cincinnati,6300 Bramble Ave,0,5,0,0,0,N/A,39.1515476,-84.3881816
2940337,"June 15, 2024",Michigan,Southfield,17587 Margate Ave,0,6,0,0,0,N/A,42.4825791,-83.2198072
2940762,"June 15, 2024",Michigan,Detroit,17800 block of Albion Ave,1,4,0,0,0,N/A,42.4255033,-83.0049464
2940302,"June 15, 2024",Michigan,Rochester (Rochester Hills),1585 E Auburn Rd,0,9,1,0,0,N/A,42.637594,-83.100526
2940598,"June 15, 2024",Texas,Round Rock,1371 Harrell Pkwy,2,14,0,0,0,N/A,30.5383488,-97.6278652
2940313,"June 15, 2024",Alabama,Tuskegee,207 E Martin Luther King Hwy,1,3,0,0,0,N/A,32.4248893,-85.688906
2939783,"June 14, 2024",West Virginia,Princeton,347 Meadowfield Ln,0,5,0,0,1,N/A,37.3613877,-81.0519824
2939734,"June 14, 2024",Florida,Fort Lauderdale,2300 block of NW Eighth St,1,4,0,0,0,N/A,26.132667,-80.1746381
2940564,"June 14, 2024",Pennsylvania,Philadelphia,3301 W York St,1,4,0,0,0,N/A,39.9934999,-75.1863038
2939289,"June 14, 2024",Illinois,Chicago,9100 block of S Harper Ave,0,4,0,0,0,N/A,41.7294516,-87.587011
2939657,"June 14, 2024",Ohio,Columbus,205 N 5th St,2,2,0,0,0,N/A,39.9671986,-82.9960581
2939030,"June 13, 2024",Illinois,Chicago,11910 S Michigan Ave,0,4,0,0,0,N/A,41.6777459,-82.9960581
2937456,"June 11, 2024",Tennessee,Memphis,I-240 and Poplar Ave,0,5,0,0,2,N/A,35.1490314,-90.046189
2935591,"June 9, 2024",District of Columbia,Washington,2200 block of Minnesota Ave SE,0,6,0,0,0,N/A,38.8727024,-76.9742523
2935144,"June 9, 2024",Wisconsin,Madison,433 W Johnson St,0,10,0,0,0,N/A,43.0726417,-89.3924795
2935430,"June 9, 2024",Texas,Dallas,Elm St and N Crowdus St,0,4,0,0,0,N/A,32.7846867,-96.7836308
2936012,"June 9, 2024",Virginia,Richmond,200 block of N 2nd St,0,4,0,0,0,N/A,37.543699,-77.4409693
2936435,"June 8, 2024",Alabama,Eufaula,900 block of Jackson St,0,4,0,0,0,N/A,31.8873119,-85.1546563
2934537,"June 8, 2024",North Carolina,Charlotte,616 N Tryon St,0,4,0,0,0,N/A,35.2312744,-80.836849
2934578,"June 8, 2024",South Dakota,Sioux Falls,5105 S Drexel Ave,3,2,0,0,1,N/A,43.4992638,-96.7980158
2934048,"June 7, 2024",Missouri,Saint Louis (Jennings),2600 block of Shannon Ave,1,4,0,0,0,N/A,38.7348759,-90.2591279
2934417,"June 7, 2024",South Carolina,Seabrook,Horace Dawson Ln,0,4,0,0,0,N/A,32.5956385,-80.7507782
2934007,"June 7, 2024",California,Compton,E Greenleaf Blvd and S Mayo Ave,1,5,0,0,0,N/A,33.8812647,-118.2119171
2933578,"June 6, 2024",Missouri,Kansas City,3200 block of Bellefontaine Ave,2,2,0,0,0,N/A,39.067858,-94.5472497
2930393,"June 3, 2024",Tennessee,Memphis,3600 block of Powers Rd,0,4,0,0,0,N/A,35.2239139,-89.912138
2930818,"June 3, 2024",Virginia,Triangle,3700 block of Masthead Trail,1,3,0,0,1,N/A,38.5612466,-77.323966
