rank,city,country,citizen_score,governance_score,economic_score,environmental_score,mobility_score,total_score,latitude,longitude,population,incidents,victims_killed,victims_injured,victims_harmed
gold,Aarhus,Denmark,384.2,339.3,343.1,366.4,316.2,1749.2,56.162939,10.203921,290598,,,,
gold,Zurich,Switzerland,385.7,315.5,382.8,314.3,338.7,1737,47.3768866,8.541694,447082,,,,
gold,Berlin,Germany,383.9,314.2,374.9,316.6,331,1720.6,52.5200066,13.404954,4890363,,,,
gold,Gothenburg,Sweden,376.8,331.7,332.8,371.3,307,1719.5,57.70887,11.97456,607882,,,,
gold,Amsterdam,Netherlands,377.4,368.5,336.6,298.1,337.9,1718.5,52.3675734,4.9041389,1459402,,,,
gold,Helsinki,Finland,352.5,352.9,330.6,362.2,316.4,1714.7,60.1698557,24.938379,1360075,,,,
gold,Bristol,United Kingdom,337.6,371.6,386.2,328.8,285.6,1709.8,51.454513,-2.58791,707412,,,,
gold,Copenhagen,Denmark,367.2,352.3,367.6,307.7,312.4,1707.2,55.6760968,12.5683371,1366301,,,,
gold,Geneva,Switzerland,363.7,333.5,372.3,300.6,324.9,1695,46.2043907,6.1431577,203840,,,,
gold,Munich,Germany,361.9,332.2,364.4,302.8,317.3,1678.6,48.1351253,11.5819806,2606021,,,,
gold,Stockholm,Sweden,359.8,344.7,357.3,312.5,303.3,1677.5,59.3293235,18.0685808,2121000,,,,
gold,Rotterdam,Netherlands,370.4,311.5,366.1,299.4,329.1,1676.5,51.9244201,4.4777325,664311,,,,
gold,Oulu,Finland,370.5,380.9,355.1,303.5,262.7,1672.7,65.0120888,25.4650773,208939,,,,
gold,Vienna,Austria,315.8,369.6,372.1,317.3,295.6,1670.4,48.2080696,16.3713095,2223236,,,,
gold,Edinburgh,United Kingdom,365.6,369.6,365.7,310.1,256.8,1667.8,55.953252,-3.188267,488050,,,,
gold,Reykjavik,Iceland,329.5,384.1,325.1,365.1,260.1,1663.9,64.1469868,-21.9407552,139875,,,,
gold,Aalborg,Denmark,334.2,384.3,325.6,347.7,267.4,1659.2,57.0488195,9.921747,143598,,,,
gold,Minneapolis,United States,360.9,317.9,386.7,266.3,315.9,1647.7,44.977753,-93.2650108,2892569,8,1,40,41
gold,Basel,Switzerland,370.7,350.5,320.3,285.6,319.9,1647,47.5595986,7.5885761,173552,,,,
gold,Alesund,Norway,372.7,385.8,366.7,292.2,228,1645.4,62.4722284,6.149482,52163,,,,
gold,Brisbane,Australia,331.5,365.2,384.6,310.4,252.6,1644.3,-27.4704528,153.0260341,2360241,,,,
gold,Bruges,Belgium,320.6,367.4,368.7,302.8,277.7,1637.2,51.2091807,3.2247552,118509,,,,
